titulo;cuerpo;fecha
Dólar cierra sus operaciones con leve tendencia alcista y no quiebra barrera de los $800;"Este viernes, el dólar cerró sus operaciones semanales con una leve tendencia alcista, aunque la divisa américa todavía no supera la barrera de los $800. El aumento de la tasa de desocupación en la potencia norteamericana afectó de forma negativa a la divisa. De esta forma, en el cierre de sus operaciones, el billete verde aumentó de forma sutil $0,20 este viernes, quedando en puntas de $796,20 vendedor y $795,90 comprador.RelacionadaDetalle('1088925');Renato Campos, Analista Jefe de Admirals, explicó que el ""aumento en la tasa de desocupados en Estados Unidos marca la jornada, la reacción negativa sobre el dólar no se demora en evidenciarse mientras la renta variable pierde niveles claves y amenaza con expandir las pérdidas señaladas durante la semana"". ""Los fundamentos continúan señalando un escenario favorable para el cruce local; desde hoy en adelante la responsabilidad recae en la próxima decisión de política monetaria FED el 22 de marzo, instancia en la que conoceremos previsiones económicas"", agregó. Por su parte, José Muñoz, analista de Libertex, dijo que ""la tasa de desempleo de febrero, con su 3.6% decepcionó, al mercado, pues se esperaba un 3,4%, lo que generó bastante incertidumbre, con bolsas norteamericanas subiendo casi un 0.1%, para luego terminar cotizando bastante planos, con una leve caída de un -0,08% pasado el mediodía"".";2023-03-10
Caso Convenios: Consejo de Defensa del Estado presenta querella contra director de Fundelin y representante de Corporación Kimün;El Comité Penal del Consejo de Defensa del Estado (CDE) acordó en una sesión presentar una querella por fraude al fisco en contra del director de la Fundación Instituto de Desarrollo y Liderazgo Indígena (Fundelin), Diego Ancalao, y el representante legal de la Corporación Kimün, Jaime Huincahue. Huincahue y Ancalao permanecen detenidos. El primero se entregó a la justicia esta semana después de que se emitiera el domingo la orden de detención, mientras que contra el segundo la medida de prisión preventiva fue decretada el pasado sábado por lavado de activos, fraude y estafa. El CDE aclaró también que la querella considera otros partícipes y/o delitos que se pudieran identificar, acreditar y determinar durante el curso de la investigación que desarrolla el Ministerio Público en la ciudad de Puerto Montt, relacionada al Caso Convenios, consignó Radio Bío Bío. De acuerdo con los argumentos expuestos por el Consejo, tras revisar los antecedentes, Huincahue y Ancalao se habrían concertado para defraudar al Fisco y así obtener fondos destinados a solucionar problemas de tenencia irregular de pequeños propietarios agrícolas de la Región de Los Lagos. El centro de esta investigación son una serie de traspasos irregulares de dinero entre el Gobierno Regional de Los Lagos y la mencionada Corporación. Una de las aristas está en los 1.200 millones de pesos que recibió Kimün por un contrato que terminó antes de lo pactado. La otra arista tiene que ver con la compra, con Ancalao como director de Fundelin, «a bajo precio» de dos instituciones educativas administradas por Kimün. Seguir leyendo: Con tu donación aportas a la sostenibilidad económica y existencia de este medio. Elige cómo quieres aportar a la existencia y financiamiento colectivo de este medio!;2023-08-11
Nuevo estudio revela que un café con leche tiene prometedoras propiedades antiinflamatorias;De acuerdo con un nuevo estudio de la Universidad de Copenhague, un simple café con leche podría tener un efecto antiinflamatorio beneficioso, ya que esta bebida combina proteínas y antioxidantes, lo que duplica las propiedades antiinflamatorias en las células inmunitarias de los humanos. Cuando las bacterias, virus y otras sustancias extrañas entran en nuestro organismo, el sistema inmunitario responde desplegando glóbulos blancos y sustancias químicas que nos protegen, una reacción denominada inflamación, que también ocurre al sobrecargar tendones y músculos o en enfermedades como la artritis reumatoide. Los antioxidantes o polifenoles, presentes en los seres humanos, las plantas, las frutas y las verduras, se utilizan en la industria alimentaria para ralentizar la oxidación y hacer que los alimentos duren más tiempo pero también son saludables para el ser humano, porque ayudan a reducir el estrés oxidativo del organismo que provoca la inflamación. Ahora, un estudio publicado en la revista Journal of Agricultural and Food Chemistry ha investigado el efecto antiinflamatorio de combinar polifenoles y proteínas, y los resultados han sido prometedores. “Hemos demostrado que cuando un polifenol reacciona con un aminoácido, se potencia su efecto inhibidor de la inflamación en las células inmunitarias. Por tanto, es claramente imaginable que este cóctel pueda tener también un efecto beneficioso sobre la inflamación en humanos”, explica Marianne Nissen Lund, quien ha liderado la investigación. Los investigadores provocaron una inflamación artificial a células inmunitarias. Después, unas recibieron diversas dosis de polifenoles que habían reaccionado con un aminoácido, otras solo recibieron polifenoles y un grupo de control no recibió nada. Observaron que las células inmunitarias tratadas con la combinación de polifenoles y aminoácidos eran dos veces más eficaces en la lucha contra la inflamación que las células a las que solo se añadieron polifenoles. Para este estudio, comprobaron si las moléculas también se unen entre sí al mezclar café con leche (el café está lleno de polifenoles y la leche es rica en proteínas). La investigadora Marianne Nissen Lund está convencida de que esta reacción y el efecto antiinflamatorio potencialmente beneficioso también se produce al combinar otros alimentos compuestos por proteínas y frutas o verduras. La industria y la comunidad investigadora, que conocen las grandes ventajas de los polifenoles, estudian cómo añadir las cantidades adecuadas de polifenoles en los alimentos para conseguir la mejor calidad. “Como el ser humano no absorbe tantos polifenoles, muchos investigadores estudian cómo encapsularlos en estructuras proteicas que mejoren su absorción en el organismo. Esta estrategia tiene la ventaja añadida de potenciar los efectos antiinflamatorios de los polifenoles”, concluye la investigadora.;2023-01-30
Contraloría oficia a 53 municipalidades del país por niveles de limpieza y salubridad en espacios públicos;La Contraloría General de la República (CGR), en conjunto con la división de Gobiernos Regionales y Municipales, ofició a 53 municipalidades del país en relación con los niveles de limpieza y salubridad en calles, parques, plazas y otros bienes nacionales de uso público de sus respectivas comunas. El ente fiscalizador solicitó a estas municipalidades que proporcionen un informe detallado sobre las medidas concretas que han tomado en esta materia durante los años 2023 y 2024. El foco principal del informe debe estar en el mejoramiento de los niveles de limpieza y salubridad de los lugares públicos. La Contraloría asegura que esta solicitud tiene como objetivo que se rindan cuentas sobre las acciones específicas que han llevado a cabo para mejorar la limpieza y salubridad en espacios públicos, de acuerdo con las responsabilidades legales establecidas para estas entidades municipales.;2024-01-24
Realizan funerales de los dos trabajadores fallecidos en el accidente de trenes;Durante la jornada de este domingo, se están llevando a cabo los funerales de los dos trabajadores fallecidos por el choque entre trenes registrado en la comuna de San Bernardo el pasado 20 de junio. El accidente ocurrió entre el Puente Maipo y Nos, un área donde un tren de pruebas sin pasajeros de EFE y un tren de carga de la empresa Fepasa colisionaron en la vía férrea principal. Este choque entre trenes quedó marcado como una de las peores tragedias ferroviarias en la región en los últimos años. Según informó la compañía EFE, dos de sus trabajadores fueron detenidos y formalizados, quedando con arresto domiciliario nocturno, arraigo nacional y otras medidas, como la prohibición de concurrir a las dependencias de EFE y de comunicarse entre ellos. Este domingo se desarrollan los funerales de los dos trabajadores fallecidos en el choque de trenes del pasado jueves. Ambos eran empleados empresa Fepasa. En detalle, las víctimas son: José Bonín, de 58 años, y Daniel Vega, de 43 años, quienes eran maquinistas del tren de carga. Daniel Vega era padre de tres niñas de 17, 12 y 10 años. Su círculo cercano comentó que soñaba con irse a vivir al sur y que incluso se había comprado una casa que ocuparía en el verano. Este sueño quedó truncado por el trágico accidente entre trenes. José Bonín, el otro fallecido, se desempeñaba como maquinista en Fepasa, pero en el momento del choque estaba como acompañante. Su familia lo reconoció como un hombre tranquilo y amoroso. Según explicó el gerente de la empresa, Bonín hacía el mismo recorrido hace 20 años. Su dedicación y amor por su trabajo eran evidentes, lo que hace aún más dolorosa su pérdida en este trágico accidente entre trenes. En medio de los funerales de los dos trabajadores fallecidos en el accidente, la comunidad y los compañeros de trabajo de las víctimas expresaron su dolor y solidaridad con las familias afectadas. El incidente puso en evidencia la necesidad de revisar y mejorar las medidas de seguridad en las operaciones ferroviarias.;2024-06-23
Partido Comunista vuelve a la conducción de la FECH: La ministra Vallejo había sido su última presidenta;“Con el corazón lleno, mil gracias por confiar en nosotras y nosotras. Sabremos cumplir“, expresó Camila Lufín, la nueva presidenta de la Federación de Estudiantes de la Universidad de Chile. El Partido Comunista retoma la conducción política de la FECH después de 12 años. Su última presidenta fue la ministra vocera de Gobierno, Camila Vallejo. En esta elección, por primera vez, el PC y Convergencia Social fueron aliados, presentándose con la lista “Súbete a la FECH”. Oriunda de Puente Alto, militante de las Juventudes Comunistas, estudiante de quinto de año de Literatura y Lingüística Hispánica, mención Literatura. Lufín tiene una gran pasión por la escritura, política y en su tiempo libre da a conocer sus impresiones en X sobre el reality Gran Hermano. Una publicación compartida de Juventudes Comunistas de Chile (@jjcc_chile) Los ejes de su campaña estuvieron centradas en promover una universidad democrática, feminista y disidente. Según publicó La Tercera, durante el año pasado fue elegida como senadora universitaria, donde participó en una mesa negociadora por el aumento de aranceles. Una publicación compartida de Catalina Lufín (@cn.lufin) Su paso en política inició en el Liceo 1 Javiera Carrera de Santiago, siendo vocera del Centro de Estudiantes y a la vez participando en las movilizaciones feministas del 2018. En el plano político, apoyó las primarias presidenciales de Daniel Jadue y luego se sumó al comando de Gabriel Boric para enfrentar a José Antonio Kast.;2023-08-30
"Jadue envía carta desde prisión preventiva y agradece apoyo de presidente de Colombia: ""Lo admiro profundamente""";"El alcalde de Recoleta, Daniel Jadue, escribió una nueva carta desde el Anexo Penitenciario Capitán Yáber, donde está cumpliendo la medida cautelar de prisión preventiva, la cual le fue impuesta en el marco del denominado ""Caso Farmacias Populares"". En la misiva, el jefe comunal agradeció el mensaje del Presidente de Colombia, Gustavo Petro, quien en su cuenta de X pidió su libertad y sentenció que está ""preso por la jurisprudencia de Pinochet impuesta a los seres libres"". Estas palabras provocaron que el Gobierno enviara una nota de protesta. Right ""Como siempre, quiero agradecer las muestras de cariño que día a día me hacen llegar y en particular el mensaje del Presidente de Colombia, a quien admiro profundamente, Gustavo Petro"", inicia la carta de Jadue que fue publicada en sus redes sociales. ""Al mismo tiempo quiero reiterarles mi absoluta inocencia y agradezco todo el esfuerzo de mi equipo de defensa para terminar con este encarcelamiento injusto"", agregó. Top-Right Daniel Jadue permanece privado de libertad desde el pasado 3 de junio, luego de ser formalizado por presuntos delitos de corrupción. Pese a que han sido varios los intentos de su defensa para que sea liberado, los recursos presentados no han dado frutos. El aún alcalde también aprovechó de saludar ""el triunfo del Nuevo Frente Popular en Francia, que demuestra que la unidad de la izquierda, sin complejos ni ambigüedades, es el único camino para derrotar a la extrema derecha que hoy amenaza a Chile y todo lo avance en Recoleta"". ""Los llamo a no aceptar los intentos del modelo para disciplinar a quienes soñamos y trabajamos por un mundo mejor"", añadió. Jadue cerró su mensaje manifestando: ""¡Qué nadie nos quite la esperanza!"". Este artículo informa de un proceso judicial en curso, por lo que los involucrados no deben ser considerados culpables hasta que los organismos pertinentes lo determinen. Todo sobre Daniel Jadue";2024-07-11
El presidente de Colombia, Gustavo Petro, visitará Chile la próxima semana: abordarán con Boric agenda económica y de cambio climático;El presidente de Colombia, Gustavo Petro, visitará Chile entre el 8 y 10 de enero según confirmó el Gobierno en la mañana de este miércoles. La información fue revelada por la vocera de Gobierno, Camila Vallejo y la titular de Relaciones Exteriores, Antonia Urrejola, quienes confirmaron que el mandatario colombiano tendrá una reunión con el Presidente Gabriel Boric. “Vamos a tener la próxima semana una visita oficial del Presidente Petro. El presidente se va a reunir con nuestro Presidente, por supuesto, pero también con los distintos poderes del Estado”, afirmó Urrejola. La canciller indicó que “va a haber una agenda económica y también en aquellos temas que nos preocupan como, por ejemplo, tenemos una agenda muy importante en materia de cambio climático”. Con el proceso, que inició oficialmente en la semana del 13 de marzo en otras regiones, se dejarán atrás las señales analógicas “SD”, pasando a las digitalizadas “HD”, algo que eventualmente podría afectar a los televisores más antiguos. Aguas Andinas informó que el corte de suministro de agua comenzará a las 15:00 del jueves y terminará a las 6:00 del viernes, por lo que se extenderá por 15 horas. La medida cautelar es aplicada a Darío Cuadra y Alberto Sauer (padre), este último imputado por los delitos de estafa, aprobación indebida, lavado de dinero, además de facilitación de facturas falsas. Las medidas cautelares para Daniel Sauer y Ariel Sauer, además de Rodrigo Topelberg y Luis Flores se conocerán este martes, en una audiencia que partirá a las 9 horas. Se espera que la Fiscalía solicite prisión preventiva.;2023-01-04
Un pasaporte belga: El documento clave en caso de empresario chileno que se casó estando detenido en Perú;Conforme pasan los días más antecedentes surgen respecto al matrimonio del empresario chileno Francisco Coeymans, quien se casó en Perú, el pasado domingo 14 de abril, mientras estaba detenido por la investigación del Caso Primus. El exgerente general de la empresa chilena Primus Capital fue acusado de delitos de fraude de parte del factoring a inicios de 2023 y ahora es investigado por estafa, administración desleal, lavado de activos y más. Right Actualmente, Coeymans se encuentra en prisión preventiva en Perú, donde fue detenido tras una orden emanada por el 4° Juzgado de Garantía de Santiago, luego de que no se presentara a una audiencia de formalización fijada para el 3 de abril, en el marco de la investigación. El 3 de mayo de 2023, el empresario se divorció en Chile tras más de 20 años de matrimonio. Un mes después, y gracias a su rama paterna, obtuvo pasaporte belga, un documento que sería fundamental en los trámites que realizó con posterioridad. Top-Right Según informó La Segunda, el pasaporte belga fue ocupado por Coeymans para casarse con la modelo peruana Yoko Chong, mientras estaba detenido. La boda consistió en una ceremonia evangélica oficiada por un pastor, donde además hubo dos testigos que firmaron el acta de matrimonio, pero que no están identificados. Adicionalmente, el pasaporte belga podría ser utilizado por el exgerente general de Primus para evitar ser extraditado a Chile en el marco de la investigación. Fuentes ligadas al caso indican que pondría en duda su ciudadanía chilena y alegaría arraigo en Perú debido a su matrimonio. Por otra parte, la Fiscalía estaría indagando posibles entradas y salidas irregulares de Coeymans a Chile, las que no estarían en los registros de la Policía de Investigaciones (PDI). De acuerdo al citado medio, fuentes del caso indicaron que el exejecutivo viajó de Chile a Perú, con su cédula chilena, el 26 de marzo. Dos días después fue visto en una misa en la comuna de Lo Barnechea junto a los tres hijos de su primer matrimonio y, finalmente, el 30 de marzo, habría abandonado Chile con su pasaporte belga.;2024-04-18
Operación Renta 2024: cómo informar si recibes arriendo por una propiedad;Este mes comenzó la Operación Renta 2024 con una serie de cambios, entre los que se incluye el cobro de impuesto por el arriendo de una propiedad. “Si obtuviste ingresos por arriendo de bienes raíces durante el año, desde esta Operación Renta debes declararlos”, se informa en el sitio web del Servicio de Impuestos Internos (SII). Con esta medida, el organismo busca determinar quiénes están percibiendo rentas por el arriendo de propiedades, por lo que inversionistas, entidades públicas, empresas, fundaciones, entre otros, deberán informar los pagos recibidos en el año por arriendo de inmuebles. Quienes obligatoriamente deben declarar los ingresos que reciben por arriendos son los propietarios de tres o más viviendas DFL2, que son aquellas de uso habitacional: casas o departamentos con una superficie construida que no supera los 140 mts2. Asimismo, tienen la obligación de declarar sus ingresos recibidos por arriendo: Estos propietarios tienen la obligación de incorporar el monto obtenido por este concepto en su declaración de Renta anual, para el cálculo del impuesto a pagar. El monto recibido por arriendo se declara en el código 955 del formulario y en el código 166 se pueden rebajar las contribuciones proporcionales a los días de arriendo. Para la Operación Renta 2024, el SII lanzó un Asistente de Arriendo de Bienes Raíces, que tiene por objetivo orientar a las personas de manera virtual. Para conocer todos los detalles y cómo funciona este soporte web, debes ingresar a ESTE LINK.;2024-04-17
