comuna;cut_comuna;region;cut_region;n
Santiago;13101;Metropolitana de Santiago;13;570
Metropolitana de Santiago;NA;Metropolitana de Santiago;NA;515
Arica;15101;Arica y Parinacota;15;340
La Araucanía;NA;La Araucanía;NA;283
Maipú;13119;Metropolitana de Santiago;13;211
San Felipe;5701;Valparaíso;5;182
Tarapacá;NA;Tarapacá;NA;152
Calle Larga;5302;Valparaíso;5;149
Biobío;NA;Biobío;NA;145
Puente Alto;13201;Metropolitana de Santiago;13;129
Florida;8104;Biobío;8;122
Valparaíso;5101;Valparaíso;5;104
La Pintana;13112;Metropolitana de Santiago;13;100
Antofagasta;2101;Antofagasta;2;94
Estación Central;13106;Metropolitana de Santiago;13;93
Constitución;7102;Maule;7;91
Iquique;1101;Tarapacá;1;85
Padre Las Casas;9112;La Araucanía;9;83
Arauco;8202;Biobío;8;82
Recoleta;13127;Metropolitana de Santiago;13;82
Independencia;13108;Metropolitana de Santiago;13;77
Providencia;13123;Metropolitana de Santiago;13;75
San Carlos;16301;Ñuble;16;73
San Bernardo;13401;Metropolitana de Santiago;13;72
San Miguel;13130;Metropolitana de Santiago;13;71
Lampa;13302;Metropolitana de Santiago;13;69
Quilicura;13125;Metropolitana de Santiago;13;67
Cerro Navia;13103;Metropolitana de Santiago;13;66
San Pedro de Atacama;2203;Antofagasta;2;62
San Antonio;5601;Valparaíso;5;61
Alto Hospicio;1107;Tarapacá;1;56
Los Ríos;NA;Los Ríos;NA;54
San Nicolás;16305;Ñuble;16;54
Quinta de Tilcoco;6114;Libertador Gral. Bernardo O'Higgins;6;52
San Pablo;10307;Los Lagos;10;52
Puerto Montt;10101;Los Lagos;10;51
Calama;2201;Antofagasta;2;48
Coquimbo;4102;Coquimbo;4;48
Concepción;8101;Biobío;8;47
Cerrillos;13102;Metropolitana de Santiago;13;44
San Javier;7406;Maule;7;43
Cañete;8203;Biobío;8;42
Lo Espejo;13116;Metropolitana de Santiago;13;42
Las Condes;13114;Metropolitana de Santiago;13;40
María Elena;2302;Antofagasta;2;40
El Bosque;13105;Metropolitana de Santiago;13;39
Retiro;7405;Maule;7;39
Colina;13301;Metropolitana de Santiago;13;38
Pudahuel;13124;Metropolitana de Santiago;13;38
Victoria;9211;La Araucanía;9;38
San Ramón;13131;Metropolitana de Santiago;13;37
Renca;13128;Metropolitana de Santiago;13;35
Colchane;1403;Tarapacá;1;34
Coronel;8102;Biobío;8;34
Huechuraba;13107;Metropolitana de Santiago;13;34
Viña del Mar;5109;Valparaíso;5;33
Temuco;9101;La Araucanía;9;32
La Granja;13111;Metropolitana de Santiago;13;31
San Joaquín;13129;Metropolitana de Santiago;13;31
