word,canonical
áfrica,áfrica
ángela,ángela
ábaco,ábaco
ábrelo,abrir
ábreme,abrir
ábside,ábside
ácana,ácana
ácaro,ácaro
ácido,ácido
ácigos,ácigos
ácimo,ácimo
ácoro,ácoro
ácrata,ácrata
ácueo,ácueo
ádralo,ádralo
ágape,ágape
ágata,ágata
ágil,ágil
ágora,ágora
ágrafo,ágrafo
águalo,aguar
águame,aguar
águila,águila
ájalo,ajar
ájame,ajar
álabe,álabe
álamo,álamo
álbum,álbum
álcali,álcali
álgebra,álgebra
álgido,álgido
álica,álica
álimo,álimo
álveo,álveo
álzalo,alzar
álzame,alzar
ámalo,amar
ámame,amar
ámbar,ámbar
ámbito,ámbito
ánade,ánade
ánclalo,anclar
ánclame,anclar
áncora,áncora
ánfora,ánfora
ángel,ángel
ángelus,ángelus
ángulo,ángulo
ánimo,ánimo
ánodo,ánodo
ánsar,ánsar
ántrax,ántrax
ánulo,ánulo
ápex,ápex
ápice,ápice
ápodo,ápodo
ápside,ápside
áptero,áptero
árabe,árabe
áralo,arar
árame,arar
árbitro,árbitro
árbol,árbol
árcalo,arcar
área,área
árgano,árgano
árgoma,árgoma
árido,árido
ármalo,armar
ármame,armar
árnica,árnica
ártico,ártico
ásalo,asar
ásame,asar
áspero,áspero
áspid,áspid
áspide,áspide
átalo,atar
átame,atar
ático,ático
átomo,átomo
átono,átono
áulico,áulico
áureo,áureo
áurico,áurico
ávido,ávido
ázimo,ázimo
ázoe,ázoe
ébano,ébano
échalo,echar
échame,echar
égida,égida
égloga,égloga
él,él
élite,élite
élitro,élitro
émbolo,émbolo
émulo,émulo
énfasis,énfasis
éntasis,éntasis
épico,épico
época,época
épsilon,épsilon
équido,équido
équite,équite
éramos,ser
ésa,ése
ése,ése
ésos,ése
ésta,éste
éste,éste
éster,éster
éstos,éste
éter,éter
ético,ético
étimo,étimo
étnico,étnico
éxito,éxito
éxodo,éxodo
éxtasis,éxtasis
íbamos,ir
íbero,íbero
íbice,íbice
ídem,ídem
ídolo,ídolo
ígneo,ígneo
íleo,íleo
íleon,íleon
ímpetu,ímpetu
